Intervalos de edad,HOMBRES,MUJERES ,TOTAL,DE,HASTA
 0-4 años,2832,2626,5458,0,4
 5-9 años,3453,3298,6751,5,9
 10-14 años,3540,3147,6687,10,14
 15-19 años,3169,2989,6158,15,19
 20-24 años,3052,3129,6181,20,24
 25-29 años,3195,3334,6529,25,29
 30-34 años,3742,4015,7757,30,34
 35-39 años,4693,5056,9749,35,39
 40-44 años,5329,5640,10969,40,44
 45-49 años,4548,5171,9719,45,49
 50-54 años,4077,4552,8629,50,54
 55-59 años,3193,3634,6827,55,59
 60-64 años,2534,3265,5799,60,64
 65-69 años,2808,3416,6224,65,69
 70-74 años,2473,2707,5180,70,74
 75-79 años,1440,1570,3010,75,79
 80-84 años,922,1214,2136,80,84
 85-89 años,469,787,1256,85,89
 90-94 años,171,466,637,90,94
 95-99 años,42,154,196,95,99
 más de 100 años,7,37,44,100,200
Total  ,55689,60207,115896,,
